term,match1,match2,match3,match4,match5
lysozyme chloride,lysozyme,lysozyme,lysine acid,hydrogen chloride,hydrogen chloride
macleans mouthguard,manna sugar,manna sugar,manna sugar,manna sugar,magnesiocard (mag
macro antioxidant,macrodantin,macrobid,"macrogol, combinations",macrolides,macrodex
macu-vision,macuvite,macuvite,macuvite,macuvite,macuvite
magnesia komp n,magnesia,magnesia,magnesia,magnesium carbonate,magnesium carbonate
magnesium oxidum leve,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide (mgo),magnesium oxide (mgo)
magnesium salicylate,magnesium silicate,magnesium lactate,magnesium sulfate,magnesium sulfate,magnesium sulfate
magnesium sulf./potassium chlo./sodium chlo.,magnesiumsulfat,magnesiumsulfat,magnesiumsulfat,magnesiumsulfat,magnesiumsulfat
malic acid,mandelic acid,mandelic acid,salic acid,salic acid,salic acid
maoubushisaishintou,mao inhibitors,mao inhibitors and diuretics,mastussin,"mao a inhibitors, antidepressant drugs",maoson
mathoine,methoin,malathion,cathine,amethocaine,amethocaine
matuzumab,alemtuzumab,matzim,matzim,matzim la,matzim la
medicinal leech application,medicinal charcoal,medicinal carbon,"medicinal charcoal, combinations",medibac clearing complex,medibac clearing complex
meiji sekidome,meijer,meijer,meijer,meijer,meijer
menopace                           /01548201/,menogen,menogen,menopur,mea,menostar
mentha x piperita,mentax,menthol-pramoxine topical,menthol-pramoxine topical,menthoderm,menthol in aq
mepyramine maleate,mepyramine mal,mepyramine,mepyramine,mepyramine theophyllinacetate,meprobamat
mercurous chloride,mercuric chloride,mercury bichloride,mercurochrome,mercuroclear,mercuroclear
meropenem trihydrate,meropenem,meropenem (substance),meronem,meropenem [chemical/ingredient],meropenem in parenteral dosage form
metamizole sodium monohydrate,metamizole sodium,metamizole sodium (product),"metamizole sodium, combinations with psycholeptics","metamizole sodium, combinations excl. psycholeptics",metizoline
metamucil plus calcium,metampicillin,metacin,meta amsa,meta-amsa,metaglip
meteoxane,methoxamine,metixene,metergoline,methoxsalen,methoxsalen
metformin embonate,metformina,metformine,metformin,metforminum,metforming
metformin w/rosiglitazone,metformin / rosiglitazone,metformin/rosiglitazone,metformin-rosiglitazone,metformin / pioglitazone,metformin/pioglitazone
methopromazine,methylpromazine,ethopropazine,methscopolamine,methscopolamine,methopyrapone
methylephedrine hydrochloride-dl,methylin,methylphenidate hcl,methysoprinol,methylprednisolone,methylprednisolone
methylethylpiridinol,methyl triiodide,methyprylone,methylpred,methylatropine,methyltyrosine
metoprolol fumarate,metoprolol tart,metoprolol,metoprolol (substance),metoprolol and amlodipine,metoprolol and ivabradine
metpure ar,metipred,metipred,metipred,metaprel,metaprel
mezym,metazem,metazem,enzymax,enzymes,enzymes
mezym                              /00506801/,mzm,e,e,mezlin,mezzopram
microgel                           /01346401/,micrell,microval,micro-k,micro-k,microzide
microlax,microx,microval,microplasmin,micronase,micrhogam
micropil plus,micrell,micro-k ls,micro-k ls,microbial collagenase,microluton
migpriv                            /01310301/,migril,migrex,migrex,migrex,migard
migraeflux,migralex,migralex,migralex,migrex,migrafen
migraene-kranit                    /06401501/,migran-a,migran-a,migran-a,migrafen,migrafen
milgamma na                        /01350701/,m,milantex,milantex,milantex,miltown
minalgan,anglian,anglian,mindal,mindal,migranal
mist. pot. cit.,mistamine,mitomycin,miostat,miostat,mitotane
mitoxantrone hydrochloride,mitoxantrone,mitoxantrona,mitozantrone,mitoxantronum,mitoxantrone [chemical/ingredient]
mivacurium,mivacurium chlor,mivacurium chloride,mivacron,mivacurium chloride (substance),micturin
mobizox,mobicox,mobic,mobiflex,mozobil,mobilan
mofezolac,moxeza,moxeza,mofebutazone,mofebutazone,motazol
monoplus                           /01505401/,monopril,monopost,monocal,monocal,monocal
moriamin                           /00583901/,moricizine,morinamide,morphia,morphin,morfina
moriamin                           /01381901/,moricizine,morinamide,morphia,morphin,morfina
moxydar,modopar,moxeza,moxaverine,oxyrapid,mexar
mucaltin                           /01366601/,mucinex,mucinex d,mucinex d,mucinex dm,mucinex dm
mucosyl,mucomyst,mucomyst,mucomyst,mucolex,mucogel
muscle relaxant therapy,muscle relaxants,muscle relaxants,"muscle relaxants, peripherally acting agents","muscle relaxants, centrally acting agents","muscle relaxants, directly acting agents"
mycal,mycil,mycil,mycota,mycasone,mycasone
mylanta reflux,mylanta ar,mylanta ultra,mylanta ultra,mylanta ultra,mylanta ultra
myoview                            /01238501/,myoxin,myoxin,myoxin,myoxin,myoxin
"myprodol ""rio ethicals""",metoprolol and thiazides,propranolol and thiazides,maprotiline hcl,myocet,myco biotic
naloxone w/tilidine,naloxone,naloxone,naloxone hcl,naloxone / oxycodone,naloxone [chemical/ingredient]
narine,nafrinse,nafrinse,naturine,naropin,nafaréline
neo angin,neo synephrine,neo synephrine,neo synephrine,neo synephrine,neo synephrine
neozep                             /00367901/,neozipine xl,neovet,neovet,neovet,neovet
nephro-vite,nephro-fer,nephro-fer,nephril,nephro-fer rx,nephro-fer rx
neriproct,scheriproct,nerisona,nerisone,nerisona,nerisone
nerve block,nervine,nervine,nervocaine,nervocaine,nervocaine
neuraben,neurocaine,neurocaine,neurocaine,neurocaine,neutrexin
neurobion forte,neuroforte-r,neurocaine,neurocaine,neurocaine,nerisone forte
neurotonic,neurontin,neurocaine,neurocaine,neurocaine,neotic
neutra-phos-k                      /00599901/,neutraphor,neut,neutrahist,neutrahist,neutratop
nicotinic acid w/laropiprant,nicotinic acid/laropiprant,nicotinic acid,nicotinic acid,nicotinic acid and lovastatin,nicotinic acid and derivatives
nif-ten,uni-tren,uni-tren,uni-tren,nifuratel,niftolide
"nitrogen, liquid",nitrogen lime,nitrogen,nitro bid,nitro bid,"nitrite, sodium"
norethisterone w/estrogens/,norethisterone and estrogen,norethisterone and estrogen,norethisterone,norethisterone,norethisteron
normhydral,normaloe,normasol,normasol,normasol,normalip
normoglaucon                       /01482401/,normax,normacol,normison,normosol r,normosol r
normosol,normosol-r,normosol r,normosol-m,normosol-r,normosol-r
novahistine dmx,novahistine dh,novahistine dh,novahistine dh,novahistine dh,novahistine dh
novaluzid,novaldex,novarel,novasus,novasus,norval
novynette,ovranette,ovranette,ovranette,ovranette,ovranette
nucochem pediatric,nucochem,nucochem,nucochem,hycophen pediatric,hycophen pediatric
nutren 1.0,nutropin,nutrilyte ii,nutrilyte ii,nutrilyte ii,nutrilyte ii
nutriflex peri,nutrilyte ii,nutrilyte ii,nutrilyte ii,nutrilyte ii,nutrilyte ii
ocadrik,odrik,octadine,octadine,caldrink d,oxandrin
occupational therapy,opatanol,octocaine,octocaine,octocaine,octocaine
octenisan,octenidine,octasa,octenidine (substance),lotensin,octreotida
octotiamine,octopamine,octostim,octocaine,octocaine,octocaine
ocular lubricant                   /01768801/,ocutracin,ocutracin,ocutracin,ocusan,ocusan
oftan-mc,oftaquix,fta,oftalmolosa cusi eritromicina,xoten-c,xoten-c
okugest,sudogest,progest,novagest,novagest,novagest
olmesafe am,olmesartan medoxomil,olmetec,olmesartan medox/amlodipine,olmesartan medox/hydchloroth,olmesartan medoxomil (substance)
olsalazine sodium,olsalazine sod,olsalazine,olsalazine (substance),olsalazine [chemical/ingredient],olanzapinum
omega-6 fatty acids,omega,omega-aminohexanoic acid,omega-aminocaproic acid,omega-conotoxin m viia,omega-conopeptide mviia
omniflora,omnicef,omnicef omni-pac,omnipred,omnipred,omnipred
omnivit                            /00541701/,omnihib,omni gel,omnicide,omnicide,omnicide
one a day                          /02262701/,one touch,one touch,one touch,one touch,one touch
one a day women's,one touch,one touch,one touch,one touch,one touch
opiat,optimax,optivar,optivar,optivar,opicapone
opium tincture,opium,opium,opium (substance),opium (substance),optimine
ornade-dm,rondec-dm,rondec-dm,rondec-dm,ornade spansules,ornade spansules
orotic acid,boric acid,orthoboric acid,etodolic acid,urokonic acid,tyropanoic acid
orphenisal,orphengesic,orphengesic,orphengesic,orphengesic,orphenadrine hcl
osmosal                            /00501801/,osmolex,osmoglyn,osmanil,osmoprep,osmoprep
osteogesic plus,osteogenic protein-1,osteo-poretical,osteo-poretical,osteo-poretical,ostercal-d
otalgan                            /00040501/,otoalgan,otoalgan,otoalgan,otoalgan,otoalgan
otamixaban,apixaban,oxametacin,apixabanum,otocain,ouabain
oteracil potassium,"chloride, potassium","chloride, potassium",clorazepate dipotassium,orlipastatum,"chlorazepate, dipotassium"
other antiinflammatory/antirheumatic agents i,other antiinflammatory/antirheumatic agents in combination with other drugs,other antiinflammatory/antirheumatic agents in combination with other drugs in atc,"other antiinflammatory and antirheumatic agents, non-steroids",other antiinflammatory therapeutic radiopharmaceuticals,other antiinflammatory therapeutic radiopharmaceuticals in atc
ottocain,otocain,otocain,otocain,otocain,otocidin
oxitropium,oxitropium brom,oxitropium bromide,tiotropium,oxitropium bromide (substance),oxitriptan
oxygen therapy,oxygen,oxygen usp,oxygen 16,oxygen 99%,oxygen (substance)
oxytetracycline hydrochloride,oxytetracycline,oxytetracycline,oxytetracycline,oxytetracycline,oxytetracycline amphoteric
painstop                           /01057301/,painex,painaid,painmd max,painmd max,pain-gesic
palonosetron hydrochloride,palonosetron hcl,palonosetron,palonosetrón,palonosétron,palonosetronum
panax ginseng,panase,panadol nightpain,panasal,panasal,panafil
panax ginseng root,panase,panasorb,panafil (obsolete),panafil (obsolete),panafil
pancreas powder,pancrease,pancreaze,pancrease hl,pancrecarb ms,pancreatic ec
pancreolan                         /00218301/,pancron,pancrex,pancreatin,pancof,pancof
pankreosil,parkotil,panakare,panretin,panretin,pandel
pantovigar                         /01551401/,panlor,panlor,panthoderm,panacur,panitaz
paracetamol forte raffo,paracetamol,paracétamol,paracet,paracetamol (substance),paracetamol + dihydrocodeine
parathyroid hormones,parathyroid hormone,parathyroid hormone agent,parathyroid hormone (1-84),parathyroid hormones and analogues,parathyroid hormones and analogues
parenteral nutrition,paral,theratears nutrition,parnate,parepectolin,pariet
pargeverine,pargyline,preven ec,preven ec,preven ec,preven ec
paroxetine mesilate,paroxetina,paroxetine,paroxetine hcl,paroxetinum,paroxetine (substance)
passiflora,pas,panlor,paser,pasireotida,pamelor
passiflora incarnata extract,pas,panadol actifast,palaprin forte,palaprin forte,palaprin forte
pectol,percutol,percutol,kapectolin,kapectolin,spectazole
ped-el                             /01164101/,pedea,pedesil,pedesil,pedesil,pediagel
pefloxacin mesilate,pefloxacine,pefloxacin,pefloxacinum,pefloxacino,pefloxacin (substance)
pemirolast,apremilast,pemolert,periostat,periostat,dermoplast
penicilloyl polylysine,penicillamine,"penicillin, methylphenylisoxazolyl",penicillin phenoxymethyl,"penicillin, phenoxyethyl","penicillin, phenoxymethyl"
pentaset,penta,pentasa,pentafuside,pent,pentacel
pentobarbital calcium,pentobarbital,pentobarbital (substance),pentobarbital [chemical/ingredient],pentobarbital in rectal dosage form,pentobarbital in oral dosage form
pep acid,pepcid,pepcid ac,peptac,prevacid,pepsin a
peppermint indigestion,pentamidine isetionate,pentamidine isethionate,pep,permitil,pepsin
perazine dimaleate,perazine,perazine [chemical/ingredient],peranex,peranex,peranex
percocet-5,percocet,percocet,percocet 5/325,percocet 5/325,percocet 10/325
pertussis vaccine,pertussis vaccines,pertussin,pertussin cs childrens,"pertussis, inactivated, whole cell",pertussis immunoglobulin
perventil,serentil,proventil,pevanti,pent,persantin
petrolatum salicylicum,"petrolatum, liquid",petrolatum ophthalmic ointment,petrem,pteroylmonoglutamic acid,pteroyl-l-monoglutamic acid
pharyngine,pharmadine,pharmadine,pharmadine,pharmadine,pharmadine
phenaglycodol,phenyl alcohol,phenyl alcohol,phenyl alcohol,phenyl alcohol,phenylcarbinol
phendimetrazine,phentermine,phenethylhydrazine,phenergan,phenergan,phenethylazocine
phenergan with dextromethorphan,phenergan with codeine,phenergan with codeine,phenergan with codeine,phenergan,phenergan vc with codeine
pheneticillin potassium,pheneticillinum,pheneticillin,phenethicillin,pheneticilline,pheneticillin (substance)
phenoxyethanol,phenylmethanol,phenoterol,phenoterol,phenoterol,phenoxybenz hcl
phenoxymethylpenicillin benzathine,phenoxymethylpenicillin,phenoxymethylpenicillin pot,phenoxymethylpenicillin (substance),phenoxymethylpenicillinum,phenoxymethyl penicillin
phenyltoloxamine,phentolamine,phenytoine,phenytoin,phenamine,phentolamin
phlogenzym,phloroglucin,phloroglucinol,phenol,phenol,phos enem
phlogenzym                         /01118601/,phloroglucin,phlemex,poe,pg,pg
phos-nak,phos cal,phoslyra,phos-flur,phos-flur,phos enem
phosphates,phosphasal,phosphasal,phosphasal,phosphasal,phosphasal
phosphates                         /00766901/,phosphasal,phosphasal,phosphasal,phosphasal,phosphasal
phosphates enema,phosphasal,phosphasal,phosphasal,phosphasal,phosphasal
phosphatidyl serine,phosphorylcreatine,"phosphate, pyridoxal",phosphate de polyestradiol,phosphasal,phosphasal
phosphocreatine sodium,phosphocreatine,phosphonoacetic acid,phosphocreatine [chemical/ingredient],phosphonic acid derivatives,n-phosphocreatine
phosphogliv,phosphomycin,phoslo,phosphasal,phosphasal,phosphasal
phosphoric acid sodium,"phosphoric acid, sodium salt","phosphoric acid, sodium salt","phosphoric acid, sodium salt",phosphonic acid derivatives,"phosphoric acid, diethyl 4-nitrophenyl ester"
physiotherapy chest,physiotens,physiolyte,physiolyte,physiolyte,physiolyte
picamilon,picato,pinmactil,plicamycin,prilocain,cipramil
pine tar,pinetarsol,pinexel pr,pineapple protease,pineapple protease,pinefeld xl
piperidine,piperidione,piperazidine,pipercillin,piperazin,paliperidone
pipofezine,piperazine,piprozoline,pipotiazine,piperazin,pipothiazine
pirenoxine sodium,pirenzepinum,pirenzépine,pirenzepine (product),piretanide,piretanide (substance)
pitofenone hydrochloride,pitofenone and analgesics,pitolisant hcl,propafenone hcl,pitolisanthcl,pitocin
placenta extract,placidex,plaretase,platet,pralatrexate,plasmalyte a
plantago afra seed husk,plant alkaloids and other natural products,plan b one-step,"plasminogen activator, urokinase-type","plant alkaloids and other natural products, antineoplastic drugs","plasminogen activator, tissue type"
plantago major,"plasminogen activator, tissue","plasminogen activator, tissue","plasminogen activator, tissue-type","plasminogen activator, tissue type","plasminogen activator, tissue-type"
"platelets, concentrated",platelet cofactor i,platelet cofactor ii,platet,platelet-derived growth factor bb,platelet-derived growth factor bb
plibex,placidex,iplex,pollinex,pollinex,lidex
pneumatic compression therapy,"pneumococcus, purified polysaccharides antigen",pneumotussin,pneumotussin,pneumomist,"pneumococcus, purified polysaccharides antigen conjugated"
polimucil                          /00943001/,polimixina b,polimixina b,polimixina b,polimixina b,polimixina b
poloxamer,polocaine,polytar,polaramine,polmacoxib,oxolamine
poly-karaya,polytar,polytar,polytar af,poly-d,poly-d
poly-pred                          /00893201/,poly-d,poly-d,poly-d,poly-d,poly-d
posti-dragees,postmi,postmi,postmi,potiga,posture-d h/p
potassium carbonate,potassium canrenoate,potassium gluconate,potassium clorazepate,potassium d-gluconate,potassium perchlorate
potassium citrate monohydrate,potassium citrate,potassium hydrogentartrate,potassium citrate (obsolete),potassium hydrogencarbonate,potassium chloride oral granule
potassium citrate w/sodium citrate,potassium citrate,potassium citrate (substance),potassium citrate [chemical/ingredient],potassium chloride (substance),potassium chloride (substance)
prajmalium bitartrate,prajmalium,prajmaline,pragmatar,pramimil,prajmaline [chemical/ingredient]
pramlintide acetate,pramlintide,pramlintide (substance),pramlintide [chemical/ingredient],pramoxine-zinc acetate topical,pramoxine-zinc acetate topical
prednisolone metasulfobenzoate sodium,prednisolone in topical dosage form,prednisolone in topical dosage form,prednisolone in topical dosage form,prednisolone in topical dosage form,prednisolone in topical dosage form
prednisolone sodium succinate,prednisolone (substance),prednisolone (substance),prednisolone (substance),prednisolone (substance),prednisolone (substance)
prednisolone sodium tetrahydrophtalate,prednisolone sod phos,prednisolone sod phos,prednisolone sod phos,prednisolone and promethazine,prednisolone sodphos
prednisolone valeroacetate,prednisolone acet,prednisolone acet,prednisolona,prednisolone,prednisolona
prempak                            /00445901/,prempak-c,prempak-c,prempro,prempro,prempro
prenatal                           /00231801/,prenatal rx 1,prenatal rx 1,prenatal rx 1,prenatal rx 1,prenatal rx 1
prenoxdiazin,prenoxdiazine,prenoxad,prenilamina,prenazone,prenazone
prenoxdiazin hydrochloride,prenoxdiazine,prenoxad,prenexa,prenexa,prenexa
pridinol mesilate,pridinol,primidona,primidone,primidon,primidone (substance)
primaxin                           /00820501/,primazine,primachin,primaquin,primaxin i.v.,primaxin i.m.
priorin                            /01306601/,priorix,privin,privin,privin,pricortin
procto-glyvenol                    /01168201/,procto-med,procto-med,procto-med,procto-med,procto-med
progesterone w/estrogens,progesterone and estrogen,progesterone,progesteron,progesterone (substance),progesterone preparation
prohepar,prepar,pre-par,pre par,propeshia,propeshia
promethazine dm,promethazine,promethazine,promethazinum,promethazinum,promazin
promist hd,promit,prohist cd,prohist cd,prohist cd,prohist cd
propofan,propovan,propan,propain,propafenona,propafenone
protecton                          /01160601/,protex,protex,protonix,protex d,protex d
prourokinase,pro-urokinase,proin,proprinal,proprinal,proleukin
proventil plus,proventil,proventil,pro vent plus,pro vent plus,pro vent plus
psychostimulants and nootropics,"psychostimulants, agents used for adhd and nootropics",psychostimulants in combination with psycholeptics,psycholeptics and psychoanaleptics in combination,other psychostimulants and nootropics,psychoanaleptics
pulsar plus,pulsator plus,pulsator plus,pulsator plus,pulsator plus,pulsator plus
pycnogenol,nyogel,pantothenol,pantothenol,pantothenol,pcg
pyridoxamine phosphate,pyridoxal phos,pyridoxal phosphate,pyridoxine,pyridoxin,pyridoxal 5-phosphate
quercus spp.,quest plus,quercetin-3-rutinoside,questrans,quebrachin,quebrachine
quercus spp. bark extract,quercetin 3 rutinoside,quetiapine (substance),quassia amara wood extract,"quercetin, 3-rhamnosyl-glucosyl",quazepam (substance)
quinidine gluconate,quinidine (substance),quinidine,quinidine sulf,quinine,quinine hcl
ranelic acid,uralenic acid,mandelic acid,tranexmic acid,aureolic acid,salic acid
reducto,reductil,redux,redutemp,refacto,refacto
rehidrat                           /00696501/,rezira,rezira,react,react,rederm
remifemin plus,remicin,remicin,remicin,remicin,remicin
"renin-angiotensin system, agents acting on",renitec,renitek,renese,agents acting on the renin-angiotensin system,renal function and ureteral injuries test diagnostic agents
resveratrol,resectisol,resectisol,resectisol,resectisol,revitol
retinal laser coagulation,retin-a forte,retin-a forte,retinol,retin a,retinol
reviparin sodium,reviparin sod,reviparin,reviparine,reviparin (substance),revimid
rheum palmatum,rheumacin la,rheumacin la,rheumacin la,rheumacin la,rheumatrex
rhinolar,rhinolar-ex,rhinolar-ex,rhinolast,rhinolast,rhinolast
rhinotrophyl,rhinocort,rhinocort,rhinocort,rhinocort,rhinoflex
ribonucleic acid,ribociclib,ribostamycin [chemical/ingredient],riboflavin,riboflavine,ribociclib (substance)
ricinus communis,rio,rickamicin,rienso,arsenic compounds,arsenic compounds
rifampicin sodium,rifampicinum,rifampicin,rifampicina,rifamicine sv,rifamicine sv
ringer aguettant,ringl,rig,ritiometan (substance),risatriptan,rizatriptan
rinofluimucil                      /00695801/,rio,rino clenil,rof,ino,ridenol
rioplus sus,riopan plus,ricotuss,ricotuss,riopan,uroplus
robinul-neostigmine,robinul-neostig,robinul,robinul fte,robitussin-pe,robitussin-pe
rubisan,urban,urban,urban,rubidomycin,rutin
salicylate sodium,"salicylate, sodium",salicylamidum,salicylamide (substance),salicylic acid,salicylic acid
salicylates nos,"salicylate, sodium",salicylamide,salicylamide (substance),salicylic acid (substance),salicylic acid (substance)
salvia officinalis,salvacyl,salac,salac,salacyn,salacyn
salvia officinalis extract,salvacyl,salac,salol,salivacaine,salivacaine
sangobion                          /00439201/,sa,sa,sangcya,sangcya,sano log
saquinavir mesilate,saquinavir mesyl,saquinavir,saquinavir (substance),saquinavir [chemical/ingredient],saquinivir
scopolia carniolica extract,scopolamine topical,scopolamine topical,scopolamine topical,scopolamine,scopolamine
scutellaria lateriflora,stelara,sular,taliglucerase alfa,sabalis serrulatae fructus,ara a
sedatif pc,sedapap,senatec,senatec,secalip,senatec
selbex,sebex,sebex,sebex,sebulex,sebulex
selenium-ace,selenium,selenium sulfide,selenium sulphide,selenium compound,selegilinum
senega and ammonia,senega,senexon,senna preparation,sentry aq mardel maracyn-oxy,senaglinide
serpasil-esidrix,serpasil,serpazide,serpazide,serpazide,serpex
shampoos,sam,sa,stamoist,stamoist,sulphamoxole
silibinin                          /01165401/,siliq,silimarin,silicone,silicones,silkis
sinusitis-komplex-hevert,sinumist,sinuson,sinuson,sinuhist,sinuhist
smp,simponi,semprex,smz,smx,simplene
sodium bromide,sodium diborate,sodium fluoride,sodium chloride,sodium fluoride,sodium chloride
sodium carbonate anhydrous,sodium hydrogen carbonate,sodium hydrogen carbonate,sodium hydrogencarbonate,sodium hydrogencarbonate,sodium bicarbonate
sodium iodide (123 i),sodium iodide (123i),sodium iodide (131i),sodium iodide (124i),sodium iodide (131i),"sodium iodide, i-123"
sodium pertechnetate (99m tc),sodium feredetate,sodium edetate,sodium tetradecyl sulfate (substance),pertechnetate-99tc,sodium
sodium w/potassium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,"sodium, pentosan polysulphate","sodium, pentosan polysulphate"
soframycine naphtazoline,soframycin,soframycin,soframycin,sorine,sofradex
solosite,solosec,soloxide,soloxide,soltel,solotuss
solvex                             /00150901/,solv x,solv x,solvent yellow 94,solage,solage
solvipect comp,solv x,solv x,solvent yellow 94,soltel,solfoton
spagulax au sorbitol,sparfloxacin (substance),spaglumic acid,spaglumic acid,spacol tablet,spacol tablet
spasmo-mucosolvan,spasmotalin,spasmolin,spasmolin,spasmolin,spasmolin
spersadexolin,spasmolin,spasmolin,spasmolin,spasmolin,spasmolin
spersadexoline                     /01515401/,spedra,sprilon,serax,ssd,spacol
spinal anaesthesia,spinraza,sinarest nasal,sinarest nasal,sinarest nasal,spironolactone (substance)
"spleen extract, proteinfree",spedra,slt,slt,silver nitrate topical,serenity natural progesterone
staloral                           /05714301/,stalevo,stalevo,salol,statrol,statrol
steroid therapy,thyroid therapy,steribath,steribath,steribath,steribath
stick zenol,stiripentol,stiripentolum,stilbestrol,stilbestrol,stilbestrol
stodal,stadol,stadol ns,istodax,temodal,sudal
stomatological preparation,stomatological preparations,stomatological preparations,somatostatin preparation,stanozolol preparation,lactoflavin preparation
stomilase,tolinase,soma,stimate,solage,solage
stresstabs                         /00512101/,strepsils,strepsils,strepsils,strepsils,strensiq
strontium,strontium ranelate,steproninum,estronum,estronum,strontium (89sr) chloride
strophanthin-k,strophanthin g,g-strophanthin,g strophanthin,k-strophanthin-alpha,strophanthus glycosides
strovite,strongid,stridex,striant,stridex,estropipate
subvitan,sutan,sutan,subvenite,subcuvia,subcuvia
sulfacet,sulfacet-r,sulfacet-r,sulfacet-r,sulfac,sulfac
sunitinib malate,sunitinib,sunitinibum,sunitinib (substance),sunitinib [chemical/ingredient],sunbalance
sunsense                           /01093901/,sunveniz xl,sunya,sunya,sunya,sunya
supradyn,suprane,supred,supred,supred,supred
supradyn weight smart,suprane,supred,supred,supred,supred
surbex-t,sure-lax,sure-lax,sure-lax,surem,subutex
"symbicort turbuhaler ""draco""",symbicort,symbicort,symbicort,symbicort,symbicort
symphytum officinale,symfi,symfi,symfi,"sympathomimetics, plain",sympathomimetics
synkapton,synastone,synastone,sylatron,synacthen,syntocinon
talniflumate,talbutale,tiamate,tiamate,talbutal,talastine
tamipool,tamiflu,timoptol,timoptol,tao,tambocor
taraxacum officinale,targaxan,taractan,tarsum,tarcil,tarsum
td polio adsorbed,iodosorb,tpa,tpa,tilodol sr,tilodol sr
tealine,terbutaline,terbutaline,teramine,tetcaine,tetcaine
tears natural ii,tears naturale,tears naturale pm,tears naturale forte,tears naturale forte,tears naturale forte
technetium tc 99m pyrophosphate,technetium (99mtc) pyrophosphate,technetium tc 99m hmpao,technetium tc 99m bicisate,technetium tc 99m sestamibi,technetium tc 99m tetrofosmin
temigran,tigan,tempra,temaril,metran,meticrane
terbolan,terbutalin,terbutalin,terbasmin,terbasmin,terbutalina
terpin hydrate,protein hydrolysate,protein hydrolysates,teril ret,terpin & codeine,teriparatide
thalamonal,thalitone,tha,thacapzol,thalidomide (antileprotic),thiamazol
the vision formula,thein,theine,thelin,the magic bullet,the magic bullet
theophylline ephedrine,theophylline ethylamphetamine,theophylline,theophylline ethylenediamine,theophyllin,theophylline [chemical/ingredient]
theragran                          /00554301/,thera-d,theracort,theracort,theracort,thera-sal
thymus extract,thymoglobulin (rabbit),thymopentin,thymoxamine,thymoxamine,thymoxyalcylamine
thyreotom                          /06398601/,thyreotropin,thyroid,thyrotropin,thyrotropin,thyrotrophin
tilade mint                        /01189701/,tilade,tilade,tilade,tilad,tilad
tipepidine hibenzate,tipepidine,ticlopidina,tinidazole [chemical/ingredient],tinidazole [chemical/ingredient],tizanidine
tixocortol pivalate,tixocortol,tixocortol,"tixocortol, combinations",tixocortol [chemical/ingredient],tixocortol [chemical/ingredient]
tobramycin sulfate,tobramycine,tobramycine,tobramycin,tobramycin,tobramycin (substance)
tonopan                            /00680101/,tonocard,tpa,tpa,tonpular xl,tonics
toplexil                           /01627901/,topal,toprol,topfit,topfit,topfit
tosufloxacin,ofloxacin,ofloxacin,ofloxacin,ofloxacine,ofloxacine
tosufloxacin tosilate,ofloxacino,ofloxacino,ofloxacino,ofloxacin otic,ofloxacin otic
tot'hema,torem,tolmetina,tolmetina,totamol,tomoxetina
totelle,totect,upostelle,totacillin,totacillin,natelle
trace elements,trace metals,trace metals,tracleer,triacet,triacet
trachitol,tractocile,tachosil,tachosil,tarcil,trancopal
traction,trolactin,trabectedin,trancot,triactin,triactin
traumeel,trace metal,trace metal,tramquel sr,tramquel sr,tramake
tricaine-mps,triadine,triadine,triadine,triadine,triadine
triclocarban,triclosan,triclosan,tricor,trichlor,triclosanum
tricyclic antidepressants,tricalcium citrate,triciene,triaminic expectorant,triaminic expectorant,triacetyl uridine
trigonella foenum-graecum,triamcinolonum,triamcinolonum,triamcinolonum,triamcinolonum,triamcinolonum
trihemic-600,trihexy-2,tritec,tri-med,tri-med,tri-med
trimix                             /01591901/,trimox,trimpex,trimedin,triam,triam
triticum aestivum,triticum (wheat fibre),tritace,triumeq,triumeq,triumeq
ts-1                               /02422201/,tsh,tspa,t-dm1,tstat,tstat
tuseran,tustan,tustan,tussend,tussabron,tussar
tussex cough,tusso hc,tusso hc,tusso c,tusso c,tuss hc
tussionex pennkinetic,tussionex,tussionex,tussin pediatric,tussin pe,tussin pe
twinpal,twinrix paed,tuinal,tuinal,twinject,twinject
typhoid vaccine,typhoid vaccines,typhim vi,typh,"typhoid, inactivated, whole cell","typhoid, oral, live attenuated"
tyrozets,tyrothricin,tyrothricin,tyrothricin,tyrodone expectorant,tyrodone expectorant
u-pasta,u-pa,upa,buplast,buplast,u-plasminogen activator
ulmus rubra,pulmicort turbuhaler,pulmicort turbuhaler,pulmicort turbuhaler,pulmicort turbuhaler,ultrabrom
unienzyme                          /00873001/,unipen,unichem,unichem,univer,unisom
uretren comp.,uretron,uretron,uretron,uretron,uretron
urinary antiseptics and antiinfectives,urinary plasminogen activator,urinary concrement solvents,urin ds,urin ds,urin ds
vaginoplasty,vaginyl,vaginyl,vaginyl,vaginyl,vaginyl
valeriana officinalis extract,valerianae radix,valenac,valenac,valenac,valenac
valganciclovir hydrochloride,valganciclovir hcl,valganciclovir,valganciclovir in oral dosage form,valaciclovir,valganciclovir (substance)
vascular stent insertion,vasaten,vascace,vascardin,vascardin,"vasopressin, ornithine"
vaseline intensive care,vaseline,"vasopressin, 8-l-ornithine-","vasopressin, arginine",vaseretic,vaseretic
vasobrix,vascor,vasolex,vasolex,vasoxyl,vasolex
vasopressin,"vasopressin, lysyl","vasopressin, lysine","vasopressin, arginine","vasopressin, 8-lysine","vasopressin, ornithine"
