term,slct,second_class,match1,match2,match3,match4,match5
octenisan,Non,,octenidine,octasa,octenidine (substance),lotensin,octreotida
octotiamine,Non,,octopamine,octostim,octocaine,octocaine,octocaine
ocular lubricant                   /01768801/,Non,,ocutracin,ocutracin,ocutracin,ocusan,ocusan
ocuvite                            /01053801/,1,,ocuvite,ocuvite,ocuvite,ocuvite,ocuvite
ocuvite                            /01762701/,1,,ocuvite,ocuvite,ocuvite,ocuvite,ocuvite
odimont-lc,Non,,lomont,omontys,monopril-hct,monopril-hct,mitosol
oftan                              /00905501/,Non,,oftaquix,fta,oforta,ofev,oflx
oftan-mc,Non,,oftaquix,fta,oftalmolosa cusi eritromicina,xoten-c,xoten-c
oilatum 1,1,,oilatum,oilatum jnr,oilatum plus,olaratumab,zerolatum plus
oilatum emollient,1,,oilatum,oilatum jnr,oilatum plus,cavilon emollient,oil ingredients
okugest,Non,,sudogest,progest,novagest,novagest,novagest
olea europaea leaf extract,Non,,"oleandomycin, triacetate (ester)",oleandomycin / tetracycline,oleandomycin (as troleandomycin),olay professional skin clearing treatment,olay professional skin clearing treatment
olmesafe am,Non,,olmesartan medoxomil,olmetec,olmesartan medox/amlodipine,olmesartan medox/hydchloroth,olmesartan medoxomil (substance)
olsalazine sodium,1,,olsalazine sod,olsalazine,olsalazine (substance),olsalazine [chemical/ingredient],olanzapinum
omega                              /01454401/,1,,omega,omep,omedia,omedia,omedia
omega-3-acid ethyl ester,1,,omega,omega-3-triglycerides incl. other esters and acids,amben ethyl ester,amben ethyl ester,amben ethyl ester
omega-6 fatty acids,1,,omega,omega-aminohexanoic acid,omega-aminocaproic acid,omega-conotoxin m viia,omega-conopeptide mviia
omeprazole sodium,3,,omeprazolum,omeprazole s-form,omeprazole,omeprazol,omeprazole in oral dosage form
omniflora,Non,,omnicef,omnicef omni-pac,omnipred,omnipred,omnipred
omnivit                            /00541701/,Non,,omnihib,omni gel,omnicide,omnicide,omnicide
one a day                          /02262701/,Non,,one touch,one touch,one touch,one touch,one touch
one a day women's,Non,,one touch,one touch,one touch,one touch,one touch
opiat,Non,,optimax,optivar,optivar,optivar,opicapone
opioid anaesthetics,1,,opioid anesthetics,opioid analgesics,opioids,kolorz anesthetic,kolorz anesthetic
opium alkaloids total,Non,,opium alkaloids with morphine,opium alkaloids and derivatives,opioids,"opium alkaloids and derivatives, cough suppressants",opium alkaloids and derivative combination cough suppressants
opium tincture,1,,opium,opium,opium (substance),opium (substance),optimine
oral antidiabetics,"other blood glucose lowering drugs, excl. insulins",,oral b anti-cavity,oral b anti-cavity,orajel anticavity,orajel anticavity,oralone
oral blood glucose lowering drugs,1,,"other blood glucose lowering drugs, excl. insulins",oral b fluorinse,oraldene,oralone,oralone
oral contraception,Non,,oralone,oralone,oralone,oralone,oralone
oral rehydration salt,1,,oral rehydration salt formulations,oral-b rinse,oral-b rinse,oral-b rinse,oral-b rinse
oralflora,Non,,oral b fluorinse,oral b fluorinse,oralone,oralone,oralone
orenzyme,Non,,enzymes,enzymes,enzymes,enzymes,enzymes
ornade-dm,Non,,rondec-dm,rondec-dm,rondec-dm,ornade spansules,ornade spansules
ornof                              /03429901/,Non,,ornex,ornex,ornacyn,ornacyn,ornacyn
orofer-xt,Non,,ornex,ornex,orelox,orlept,orap forte
orotic acid,Non,,boric acid,orthoboric acid,etodolic acid,urokonic acid,tyropanoic acid
orphenisal,Non,,orphengesic,orphengesic,orphengesic,orphengesic,orphenadrine hcl
orthoxicol for children nightrest cough,Non,,ortho cyclen,ortho cyclen,ortho-cyclen,ortho-cyclen,orthoclone okt3
os-cal                             /00188401/,1,,os-cal 500 + d,os-cal 500 + d,os-cal 500 + d,os-cal 500 with d,os-cal 500 with d
osmosal,Non,,osmolex,osmoglyn,osmanil,somnasol,somnasol
osmosal                            /00501801/,Non,,osmolex,osmoglyn,osmanil,osmoprep,osmoprep
osmotan,Non,,osmoglyn,osmoglyn,osmanil,osmotically acting laxatives,comtan
osteo                              /01471301/,Non,,osteocaps d,osteo bi-flex,osteo bi-flex,osto-d,osto-d
osteogesic plus,Non,,osteogenic protein-1,osteo-poretical,osteo-poretical,osteo-poretical,ostercal-d
otalgan                            /00040501/,1,,otoalgan,otoalgan,otoalgan,otoalgan,otoalgan
otamixaban,Non,,apixaban,oxametacin,apixabanum,otocain,ouabain
oteracil potassium,Non,,"chloride, potassium","chloride, potassium",clorazepate dipotassium,orlipastatum,"chlorazepate, dipotassium"
other antiinflammatory/antirheumatic agents i,1,,other antiinflammatory/antirheumatic agents in combination with other drugs,other antiinflammatory/antirheumatic agents in combination with other drugs in atc,"other antiinflammatory and antirheumatic agents, non-steroids",other antiinflammatory therapeutic radiopharmaceuticals,other antiinflammatory therapeutic radiopharmaceuticals in atc
"other urologicals, incl antispasmodics",1,,other urologicals in atc,other urologicals,other otologicals in atc,other ophthalmologic surgical aids in atc,other surgical aids
otidin,Non,,otocidin,otocidin,otocidin,otocidin,otocidin
otilonium,1,,otilonium bromide,motilium,otilonium bromide (product),tibolonum,otilonium bromide (substance)
ottocain,1,,otocain,otocain,otocain,otocain,otocidin
ovulen 50,Non,,olena,"ovulation stimulants, synthetic",ovex,durabolin 50,durabolin 50
oxitropium,1,,oxitropium brom,oxitropium bromide,tiotropium,oxitropium bromide (substance),oxitriptan
oxycodone/apap                     /01601701/,1,,oxycodone,oxycone,oxycodone hcl,oxycide,oxycide
oxygen therapy,1,,oxygen,oxygen usp,oxygen 16,oxygen 99%,oxygen (substance)
oxytetracycline hydrochloride,1,,oxytetracycline,oxytetracycline,oxytetracycline,oxytetracycline,oxytetracycline amphoteric
oyster shell calcium with vitamin d/01675501/,1,,oyst calcium,oyst calcium,oyst cal,oyst cal,oyst cal 500
painstop                           /01057301/,Non,,painex,painaid,painmd max,painmd max,pain-gesic
palonosetron hydrochloride,1,,palonosetron hcl,palonosetron,palonosetrón,palonosétron,palonosetronum
pamaton,Non,,pamba,papacon,papacon,pamergan,pamergan
pamidronate disodium,2,,pamidronate disod,pamidronic acid,pamine,pamine,pamidronic acid (substance)
panax ginseng,Non,,panase,panadol nightpain,panasal,panasal,panafil
panax ginseng root,Non,,panase,panasorb,panafil (obsolete),panafil (obsolete),panafil
pancreas powder,Non,,pancrease,pancreaze,pancrease hl,pancrecarb ms,pancreatic ec
pancreolan                         /00218301/,Non,,pancron,pancrex,pancreatin,pancof,pancof
pankreosil,Non,,parkotil,panakare,panretin,panretin,pandel
panthenol,5,,d-panthenol,d-panthenol,d-panthenol,pantothenol,(+)-panthenol
pantoprazole sodium sesquihydrate,2,,pantoprazolum,pantoprazole,pantoprazol,pantoprazole (substance),pantoprazole [chemical/ingredient]
pantova-d,Non,,panthoderm,panthoderm,panthoderm,pancof-pd,pancof-pd
pantovigar                         /01551401/,Non,,panlor,panlor,panthoderm,panacur,panitaz
papain,Non,,papaverine,papaverine,papacon,pazopanib,papain-urea topical
papaver somniferum,1,,papaver somniferum resin,papaver somniferum resin,papaver somniferum exudate,papaver somniferum exudate,papaveretum
paracetamol forte raffo,1,,paracetamol,paracétamol,paracet,paracetamol (substance),paracetamol + dihydrocodeine
paracetamol w/tramadol,1,,paracetamol + tramadol,paracetamolum,paracet/metoclopramide hcl,paracet/metoclopramide,paracets
paraflex comp,1,,paraflex,paracetamolum,paraderm,paraderm,paraldehyde product
parafon,Non,,paraf,paraoxon,paradione,paraffin oil,parafon forte dsc
paralgin forte                     /00221201/,Non,,paral,paradote,paradione,paraffin oil,paravict
paramax                            /00495101/,1,,paramax,paramol,paramed,paramed,paramed
parathyroid hormones,1,,parathyroid hormone,parathyroid hormone agent,parathyroid hormone (1-84),parathyroid hormones and analogues,parathyroid hormones and analogues
parenteral nutrition,Non,,paral,theratears nutrition,parnate,parepectolin,pariet
pargeverine,Non,,pargyline,preven ec,preven ec,preven ec,preven ec
paroxetine mesilate,2,,paroxetina,paroxetine,paroxetine hcl,paroxetinum,paroxetine (substance)
passiflora,Non,,pas,panlor,paser,pasireotida,pamelor
passiflora incarnata,Non,,prilocaina,asilone antacid,panlor dc,panlor dc,panlor dc
passiflora incarnata extract,Non,,pas,panadol actifast,palaprin forte,palaprin forte,palaprin forte
pectol,Non,,percutol,percutol,kapectolin,kapectolin,spectazole
ped-el                             /01164101/,Non,,pedea,pedesil,pedesil,pedesil,pediagel
pefloxacin mesilate,2,,pefloxacine,pefloxacin,pefloxacinum,pefloxacino,pefloxacin (substance)
pelargonium sidoides extract,Non,,perindopril and diuretics,pelodis,pelodis,pedia-lax liquid glycerin suppositories,pedia-lax liquid glycerin suppositories
pemetrexed disodium,1,,pemetrexed,pemetrexed (substance),pemetrexed [chemical/ingredient],edetate disodium,"edta, disodium"
pemirolast,Non,,apremilast,pemolert,periostat,periostat,dermoplast
penicilloyl polylysine,Non,,penicillamine,"penicillin, methylphenylisoxazolyl",penicillin phenoxymethyl,"penicillin, phenoxyethyl","penicillin, phenoxymethyl"
pentaset,Non,,penta,pentasa,pentafuside,pent,pentacel
pentazocine hydrochloride,1,,pentazocine hcl,pentazocine,pentazocin,pentazine,pentazine
pentazocine lactate,2,,pentazocine hcl,pentazocina,pentazocin,pentazine,pentazine
pentobarbital calcium,1,,pentobarbital,pentobarbital (substance),pentobarbital [chemical/ingredient],pentobarbital in rectal dosage form,pentobarbital in oral dosage form
pentosan polysulfate,1,,pentosan polysulfate sodium,pentosan polysulfate sodium,pentosan polysulf sod,pentosan polysulphate sodium,pentosan polysulphate sodium
pep acid,Non,,pepcid,pepcid ac,peptac,prevacid,pepsin a
pepciddual,Non,,pepcid,pepcid ac,pedural,pedural,pepcid complete
peppermint indigestion,Non,,pentamidine isetionate,pentamidine isethionate,pep,permitil,pepsin
perazine dimaleate,1,,perazine,perazine [chemical/ingredient],peranex,peranex,peranex
percocet-5,1,,percocet,percocet,percocet 5/325,percocet 5/325,percocet 10/325
perflutren,Non,,perflubron,perfan,perflenapent,perfalgan,pertofrane
perihemin,Non,,permethrin,perisine,perhexilina,perhexiline,periochip
perikabiven,Non,,perigiene,periactin,perio-kin,perio-kin,pericyazine
pertussis vaccine,1,,pertussis vaccines,pertussin,pertussin cs childrens,"pertussis, inactivated, whole cell",pertussis immunoglobulin
perventil,2,,serentil,proventil,pevanti,pent,persantin
petibelle filmtabletten,Non,,petidina,pet pectillin,pet pectillin,pethilorfan,pethidine (substance)
petrolatum,1,,"petrolatum, liquid","petrolatum oint,oph",petrem,mentholatum,mentholatum
petrolatum salicylicum,1,,"petrolatum, liquid",petrolatum ophthalmic ointment,petrem,pteroylmonoglutamic acid,pteroyl-l-monoglutamic acid
pharmaton                          /00124801/,Non,,pharmadine,pharmadine,pharmadine,pharmadine,pharmadine
pharyngine,Non,,pharmadine,pharmadine,pharmadine,pharmadine,pharmadine
phenaglycodol,Non,,phenyl alcohol,phenyl alcohol,phenyl alcohol,phenyl alcohol,phenylcarbinol
phendimetrazine,Non,,phentermine,phenethylhydrazine,phenergan,phenergan,phenethylazocine
phenergan with codeine             /00072201/,1,,phenergan with codeine,phenergan with codeine,phenergan with codeine,phenergan,phenergan vc
phenergan with dextromethorphan,4,,phenergan with codeine,phenergan with codeine,phenergan with codeine,phenergan,phenergan vc with codeine
pheneticillin potassium,2,,pheneticillinum,pheneticillin,phenethicillin,pheneticilline,pheneticillin (substance)
pheniramine aminosalicylate,1,,pheniramine,pheniramine,pheniraminum,pheniraminum,pheniramine (substance)
phenoxyethanol,Non,,phenylmethanol,phenoterol,phenoterol,phenoterol,phenoxybenz hcl
phenoxymethylpenicillin benzathine,1,,phenoxymethylpenicillin,phenoxymethylpenicillin pot,phenoxymethylpenicillin (substance),phenoxymethylpenicillinum,phenoxymethyl penicillin
phensedyl                          /00093001/,Non,,phenol,phenol,phenol,phenol,phenobel
phentolamine mesilate,1,,phentolamine,phentolamine,phentolam mesil,phentolamin,phentolamin
phenyltoloxamine,Non,,phentolamine,phenytoine,phenytoin,phenamine,phentolamin
phlebodril                         /00801901/,Non,,phlemex,phlemex,peo,phlexy-vits,plendil
phlogenzym,Non,,phloroglucin,phloroglucinol,phenol,phenol,phos enem
phlogenzym                         /01118601/,Non,,phloroglucin,phlemex,poe,pg,pg
pholtex,Non,,phosex,phytex,physiolyte,physiolyte,physiolyte
phos-nak,Non,,phos cal,phoslyra,phos-flur,phos-flur,phos enem
phosphates,Non,,phosphasal,phosphasal,phosphasal,phosphasal,phosphasal
phosphates                         /00766901/,Non,,phosphasal,phosphasal,phosphasal,phosphasal,phosphasal
phosphates enema,Non,,phosphasal,phosphasal,phosphasal,phosphasal,phosphasal
phosphatidyl serine,Non,,phosphorylcreatine,"phosphate, pyridoxal",phosphate de polyestradiol,phosphasal,phosphasal
phosphocreatine sodium,1,,phosphocreatine,phosphonoacetic acid,phosphocreatine [chemical/ingredient],phosphonic acid derivatives,n-phosphocreatine
phosphogliv,Non,,phosphomycin,phoslo,phosphasal,phosphasal,phosphasal
phospholipids,Non,,phospholine iodide,phosphonacetic acid,phosphasal,phosphasal,phosphasal
phosphoric acid,2,,phosphonoformic acid,"phosphoric acid, sodium salt","phosphoric acid, sodium salt",phosphonomethanoic acid,"phosphoric acid, diethyl 4-nitrophenyl ester"
phosphoric acid sodium,2,,"phosphoric acid, sodium salt","phosphoric acid, sodium salt","phosphoric acid, sodium salt",phosphonic acid derivatives,"phosphoric acid, diethyl 4-nitrophenyl ester"
physio,Non,,physiosol,physiosol,physiosol,physiosol,physiosol
physiotherapy chest,Non,,physiotens,physiolyte,physiolyte,physiolyte,physiolyte
pias,Non,,pas,pima,pima,pima,optilast
piascledine                        /01305801/,Non,,pid,pce,pce,pce,isdn
picamilon,Non,,picato,pinmactil,plicamycin,prilocain,cipramil
pimeclone hydrochloride,Non,,priscoline hydrochloride,priscoline hydrochloride,pimecrolimus topical,pimecrolimus [chemical/ingredient],piloc hcl
pimobendan,Non,,pimozida,pimozide (substance),pimozide,pimozidum,probenecida
pine tar,Non,,pinetarsol,pinexel pr,pineapple protease,pineapple protease,pinefeld xl
piperacillin w/tazobactam,1,,piperacillin/tazobactam,piperacillina,piperacilina,piperacillin,piperacillinum
piperacillin w/tazobactam          /01606301/,1,,piperacillin/tazobactam,piperacillina,piperacilina,piperacillin,piperacillinum
piperidine,1,,piperidione,piperazidine,pipercillin,piperazin,paliperidone
pipofezine,Non,,piperazine,piprozoline,pipotiazine,piperazin,pipothiazine
piprinhydrinate,Non,,piperidolate,pipril,pipradrol,pirinitramide,piritramide
pirenoxine sodium,Non,,pirenzepinum,pirenzépine,pirenzepine (product),piretanide,piretanide (substance)
pirisudanol maleate,1,,pirisudanol,pirisudanol (substance),pirinase,piritinol,piriton allergy
pitofenone hydrochloride,1,,pitofenone and analgesics,pitolisant hcl,propafenone hcl,pitolisanthcl,pitocin
placebo,Non,,placidex,pce,pce,pce,placidyl
placenta extract,Non,,placidex,plaretase,platet,pralatrexate,plasmalyte a
plantago afra seed husk,Non,,plant alkaloids and other natural products,plan b one-step,"plasminogen activator, urokinase-type","plant alkaloids and other natural products, antineoplastic drugs","plasminogen activator, tissue type"
plantago major,Non,,"plasminogen activator, tissue","plasminogen activator, tissue","plasminogen activator, tissue-type","plasminogen activator, tissue type","plasminogen activator, tissue-type"
plantago spp.,Non,,plan b one-step,plan b one-step,platinol,antagon,plasters
plasma lyte 148,Non,,plasma-lyte 148,plasma-lyte 148,plasma-lyte 148,plasma-lyte 148,plasma-lyte 148
platelet aggregation inhibitors excl.heparin,1,,platelet aggregation inhibitors excl. heparin,platelet aggregation inhibitor combinations excl. heparin,platet,platelet-derived growth factor bb,platelet-derived growth factor bb
platelets,Non,,platet,platet,platet,pletal,plasters
"platelets, concentrated",Non,,platelet cofactor i,platelet cofactor ii,platet,platelet-derived growth factor bb,platelet-derived growth factor bb
platycodon grandiflorus,Non,,platinum compounds,platelet-derived growth factor b chain precursor,platelet-derived growth factor b chain precursor,"platinum, diamminedichloro-, (sp-4-2)-",platinum diamminodichloride
plibex,Non,,placidex,iplex,pollinex,pollinex,lidex
pneumatic compression therapy,Non,,"pneumococcus, purified polysaccharides antigen",pneumotussin,pneumotussin,pneumomist,"pneumococcus, purified polysaccharides antigen conjugated"
polimucil                          /00943001/,Non,,polimixina b,polimixina b,polimixina b,polimixina b,polimixina b
poloxamer,Non,,polocaine,polytar,polaramine,polmacoxib,oxolamine
poly-karaya,Non,,polytar,polytar,polytar af,poly-d,poly-d
poly-pred                          /00893201/,Non,,poly-d,poly-d,poly-d,poly-d,poly-d
polycarbophil,1,,polycarbophil calcium,polycarb,polycarbophil (as calcium carbophil),polysporin,polytracin
polysaccharide-k,Non,,polysaccharide-iron comp,polycitra-k,polycitra-k,saccharide,polycin
polytar                            /00617801/,1,,polytar,polytar,polytar af,poly d,poly d
portalak                           /00723101/,Non,,portrazza,pr,poly d,poly d,poly d
posterisan f,Non,,postmi,postmi,postmi,ponstan fte,ponstan
posti-dragees,Non,,postmi,postmi,postmi,potiga,posture-d h/p
potacol r,Non,,potactasol,potassium chloride,potassium chloride,pot chlor,pot chlor
potassium ascorbate,potassium,,potassium lactate,potassium acetate,potassium salicylate,potassium (as chloride),potassium (as chloride)
potassium aspartate,potassium,,potassium citrate,potassium acetate,potassium,potassium canrenoate (substance),potassium perchlorate
potassium bicarbonate,potassium,,potassium canrenoate,potassium gluconate,potassium aminobenzoate,potassium iodide,potassium iodide
potassium carbonate,potassium,,potassium canrenoate,potassium gluconate,potassium clorazepate,potassium d-gluconate,potassium perchlorate
potassium citrate monohydrate,1,,potassium citrate,potassium hydrogentartrate,potassium citrate (obsolete),potassium hydrogencarbonate,potassium chloride oral granule
potassium citrate w/sodium citrate,1,,potassium citrate,potassium citrate (substance),potassium citrate [chemical/ingredient],potassium chloride (substance),potassium chloride (substance)
potassium magnesium aspartate,potassium,,potassium permanganate,potassium permanganate,potassium permanganate (substance),potassium permanganate (substance),potassium para-aminobenzoate
potassium phosphate monobasic,potassium,,potassium supplement combinations,potassium 4 aminobenzoate,"potassium chloride, combinations",potassium supplements,potassium gluconate (substance)
povidone,1,,povidone k,povidine,povidine,povidine,povidine
prajmalium bitartrate,1,,prajmalium,prajmaline,pragmatar,pramimil,prajmaline [chemical/ingredient]
pramlintide acetate,1,,pramlintide,pramlintide (substance),pramlintide [chemical/ingredient],pramoxine-zinc acetate topical,pramoxine-zinc acetate topical
prasugrel hydrochloride,1,,prasugrel,priscoline hydrochloride,prasugrel (substance),prascend,pred
prednisolone metasulfobenzoate sodium,prednisolone (substance),,prednisolone in topical dosage form,prednisolone in topical dosage form,prednisolone in topical dosage form,prednisolone in topical dosage form,prednisolone in topical dosage form
prednisolone sodium succinate,prednisolone (substance),,prednisolone (substance),prednisolone (substance),prednisolone (substance),prednisolone (substance),prednisolone (substance)
prednisolone sodium tetrahydrophtalate,prednisolone (substance),,prednisolone sod phos,prednisolone sod phos,prednisolone sod phos,prednisolone and promethazine,prednisolone sodphos
prednisolone valeroacetate,prednisolone (substance),,prednisolone acet,prednisolone acet,prednisolona,prednisolone,prednisolona
prempak                            /00445901/,1,,prempak-c,prempak-c,prempro,prempro,prempro
prenatal                           /00231801/,Non,,prenatal rx 1,prenatal rx 1,prenatal rx 1,prenatal rx 1,prenatal rx 1
prenatal vitamins                  /01549301/,Non,,prenatal rx 1,prenatal rx 1,prenatal rx 1,prenatal rx 1,prenatal rx 1
prenoxdiazin,1,,prenoxdiazine,prenoxad,prenilamina,prenazone,prenazone
prenoxdiazin hydrochloride,1,,prenoxdiazine,prenoxad,prenexa,prenexa,prenexa
preparation h                      /01570901/,1,,preparation h,preparation h,preparation h,preparation h,preparation h
preservision lutein eye vita.&min.sup.softg.,1,,preservision,preservision,preservision,preservision,preservision
preterax arginine,Non,,prefrin,prefrin,prefrin,prefrin,prefrin
prevalon                           /00658601/,Non,,prevail,prevail,prevail,prevail,prevail
pridinol mesilate,1,,pridinol,primidona,primidone,primidon,primidone (substance)
primaxin,Non,,primazine,primachin,primaquin,primaxin i.v.,primaxin i.m.
primaxin                           /00820501/,Non,,primazine,primachin,primaquin,primaxin i.v.,primaxin i.m.
prinzide                           /00977901/,1,,prinzide,prinzide,prinize,prinize,principen
priorin                            /01306601/,Non,,priorix,privin,privin,privin,pricortin
pritor                             /01506701/,Non,,primor,pr,pio,prialt,prioderm
pritorplus,Non,,pro-plus,perio plus,picot plus,picot plus,picot plus
procet                             /01554201/,1,,procet,procet,procort,procort,procort
procto-glyvenol                    /01168201/,Non,,procto-med,procto-med,procto-med,procto-med,procto-med
proctofoam                         /00646301/,1,,proctofoam,proctofoam,procof,procof,proctofoam hc
proctosedyl                        /00095901/,1,,proctosedyl,proctosedyl,proctosedyl,proctosol,proctosol
proctosedyl                        /01681101/,1,,proctosedyl,proctosedyl,proctosedyl,proctosol,proctosol
proctyl                            /01704301/,Non,,procet,procet,procort,procort,procort
progesterone w/estrogens,1,,progesterone and estrogen,progesterone,progesteron,progesterone (substance),progesterone preparation
"progestogens and estrogens, fixed combination",1,,"progestogens and estrogens, fixed combinations","progestogens and estrogens, fixed combinations",progestogens and estrogens in combination,"progestogens and estrogen systemic contraceptives, fixed combinations","progestogens and estrogens, sequential preparations"
prohepar,Non,,prepar,pre-par,pre par,propeshia,propeshia
prolase,Non,,protilase,prolensa,prolia,prolastin,proladone
promethazine dm,1,,promethazine,promethazine,promethazinum,promethazinum,promazin
promethazine methylene disalicylate,promethazine,,promethazine hcl,promethazine teoclate,prometazina,prometazina,promethazine [chemical/ingredient]
promethazine w/codeine,1,,promethazine,promethazine,prometazin,prometazin,"promethazine, combinations"
promethazine w/codeine             /01129901/,1,,promethazine,promethazine,prometazin,prometazin,promazin
promist hd,Non,,promit,prohist cd,prohist cd,prohist cd,prohist cd
propofan,Non,,propovan,propan,propain,propafenona,propafenone
prostagutt,Non,,prostap,prostamate,protostat,protostat,protostat
protamine sulfate,1,,protamines,protamine (substance),protamine,protacine,protionamide (substance)
protecton                          /01160601/,Non,,protex,protex,protonix,protex d,protex d
protoporphyrin,Non,,protropin,protopic,protopic,protriptylin,protriptyline
protuss                            /00510701/,1,,protuss,protuss,protuss d,protuss d,protuss d
prourokinase,1,,pro-urokinase,proin,proprinal,proprinal,proleukin
proventil plus,1,,proventil,proventil,pro vent plus,pro vent plus,pro vent plus
prunus africana,1,,prunus africanae cortex,proparacaine,prussian blue stain,prulifloxacin,prulifloxacin (substance)
prunus serotina,Non,,prunus africanae cortex,prulet,prussian blue stain,prucalopride (substance),prussian blue (product)
psychostimulants and nootropics,1,,"psychostimulants, agents used for adhd and nootropics",psychostimulants in combination with psycholeptics,psycholeptics and psychoanaleptics in combination,other psychostimulants and nootropics,psychoanaleptics
pulsar plus,Non,,pulsator plus,pulsator plus,pulsator plus,pulsator plus,pulsator plus
puva,antipsoriatics,,pv,upa,pneumovax ii,pneumovax ii,pavulon
pycnogenol,Non,,nyogel,pantothenol,pantothenol,pantothenol,pcg
pyralgin,Non,,pargyline,pyrilamine,pyrilamine,pyrantel,pyrazinamid
pyridoxamine phosphate,Non,,pyridoxal phos,pyridoxal phosphate,pyridoxine,pyridoxin,pyridoxal 5-phosphate
quercus spp.,Non,,quest plus,quercetin-3-rutinoside,questrans,quebrachin,quebrachine
quercus spp. bark extract,Non,,quercetin 3 rutinoside,quetiapine (substance),quassia amara wood extract,"quercetin, 3-rhamnosyl-glucosyl",quazepam (substance)
quibron                            /00083601/,1,,quibron,quibron,quibron t sr,quibron-t,quibron tsr
quinamm                            /00172101/,1,,quinamm,quinja,quinora,quindal,quindal
quinfamide,Non,,quinidex,quinagolide,quinadure,quinupramine,quifenadine
quinidine gluconate,2,,quinidine (substance),quinidine,quinidine sulf,quinine,quinine hcl
quinidine polygalacturonate,2,,quinidina,quinidine,quinina,quinine,quindal solution
rabies vaccine,1,,rabies vaccines,rabies,rubella vaccine,rabies serum,rubella vaccines
radiotherapy,Non,,radiogardase,radiomiro,radtue,radian-b,radiaguard
ramosetron,Non,,alosetron,ramodar,tropisetron,pramosone,pramosone
ranelic acid,Non,,uralenic acid,mandelic acid,tranexmic acid,aureolic acid,salic acid
rasagiline mesylate,1,,rasagiline mesil,rasagiline,rasagiline (substance),rasagiline [chemical/ingredient],rasilez
reboxetine mesilate,rasagiline mesil,,reboxetine,reboxetine (substance),reboxetine [chemical/ingredient],remedeine fte,remedeine fte
reducto,Non,,reductil,redux,redutemp,refacto,refacto
rehidrat,Non,,rezira,rezira,retacrit,revia,resicort
rehidrat                           /00696501/,Non,,rezira,rezira,react,react,rederm
rehydron,Non,,mebhydrolin,remeron,mebhydroline,dihydrone,regroton
remifemin plus,Non,,remicin,remicin,remicin,remicin,remicin
remifentanil hydrochloride,1,,remifentanil hcl,remifentanil,remifentanyl,remifentanil [chemical/ingredient],remifentanil (substance)
"renin-angiotensin system, agents acting on",4,,renitec,renitek,renese,agents acting on the renin-angiotensin system,renal function and ureteral injuries test diagnostic agents
reparil-gel,Non,,repa-glinide,repaglinide,replagal,repan,repan
res-q,Non,,respa-pe,respa-sa,respa-pe,respa-pe,respa-sa
resveratrol,Non,,resectisol,resectisol,resectisol,resectisol,revitol
retinal laser coagulation,Non,,retin-a forte,retin-a forte,retinol,retin a,retinol
retinol palmitate,1,,retinol,retin a,retinol,retin a,retinol
reviparin sodium,1,,reviparin sod,reviparin,reviparine,reviparin (substance),revimid
rheum palmatum,Non,,rheumacin la,rheumacin la,rheumacin la,rheumacin la,rheumatrex
rhinolar,1,,rhinolar-ex,rhinolar-ex,rhinolast,rhinolast,rhinolast
rhinotrophyl,Non,,rhinocort,rhinocort,rhinocort,rhinocort,rhinoflex
riamet,Non,,riomet,rifamate,rifamate,airet,airet
ribonucleic acid,Non,,ribociclib,ribostamycin [chemical/ingredient],riboflavin,riboflavine,ribociclib (substance)
ricinus communis,Non,,rio,rickamicin,rienso,arsenic compounds,arsenic compounds
rifampicin sodium,1,,rifampicinum,rifampicin,rifampicina,rifamicine sv,rifamicine sv
rilmazafone hydrochloride,Non,,priscoline hydrochloride,priscoline hydrochloride,rimafen,rimafen,rimafen
ringer,Non,,ringl,rig,gingera,gingera,rezine
ringer                             /01179901/,Non,,ringl,rig,ng,rinstead,rindal hpd
ringer aguettant,Non,,ringl,rig,ritiometan (substance),risatriptan,rizatriptan
ringer-acetat,Non,,ringl,renacet,florinef acetate,ide-cet,ide-cet
ringer-lactate,Non,,ringl,rinatec,react,react,rena-vite
rinofluimucil                      /00695801/,Non,,rio,rino clenil,rof,ino,ridenol
rioplus sus,Non,,riopan plus,ricotuss,ricotuss,riopan,uroplus
rioz-dmp,Non,,rio,ri-mag,ri-mox,ri-mox,ri-mox
ristfor,Non,,relistor,relifor,relifor,relifor,relifor
robaxisal compuesto,1,,robaxisal,robaxisal,robaxisal,robaxisal,robalog
robinul-neostigmine,1,,robinul-neostig,robinul,robinul fte,robitussin-pe,robitussin-pe
robitussin                         /00288801/,1,,robitussin,robitussin pe,robitussin ac,robitussin dm,robitussin pe
rocuronium,1,,rocuronium brom,rocuronium bromide,rocuronium bromide (substance),norcuron,rosoxacinum
ronatic,Non,,ron acid,drotic,drotic,drotic,drotic
ropivacaine hydrochloride,1,,ropivacaine hcl,acriflavine hydrochloride,ropivacaine,ropivacaina,ropinirol
rowatinex,Non,,rogaine,rogaine,roxatidine,actinex,rotarix
rowatinex                          /00499401/,Non,,rowasa,rogaine,ran,rondex,rondex
rubisan,Non,,urban,urban,urban,rubidomycin,rutin
ruscus aculeatus,Non,,rusyde,sucralfat,suscard buccal,ru tuss de,ru tuss de
saccharomyces medicinalis,Non,,saccharomyces boulardii,saccharomyces boulardius,saccharomyces boulardi,saccharomyces boulardii (substance),saccharomyces boulardii lyo
salicylate sodium,1,,"salicylate, sodium",salicylamidum,salicylamide (substance),salicylic acid,salicylic acid
